label;latitude;longitude
plainoiseau;46,73;5,56
pont de poitte;46,57;5,69
pont d hery;46,88;5,9
pont d hery;46,88;5,9
presilly;46,56;5,58
pretin;46,93;5,84
pupillin;46,88;5,75
quintigny;46,73;5,52
rainans;47,16;5,47
rye;46,88;5,43
st aubin;47,03;5,33
st germain en montagne;46,78;5,94
val suran;46,39;5,44
st lamain;46,8;5,6
st laurent en grandvaux;46,57;5,96
st loup;47;5,31
st pierre;46,57;5,9
st thiebaud;46,97;5,88
saizenay;46,97;5,93
seligney;46,94;5,54
supt;46,85;5,98
syam;46,7;5,95
tavaux;47,04;5,4
thesy;46,9;5,93
thoirette coisia;46,29;5,52
thoirette coisia;46,29;5,52
vadans;46,94;5,71
valempoulieres;46,83;5,87
vannoz;46,77;5,91
le vaudioux;46,69;5,93
vaux sur poligny;46,82;5,73
vernantois;46,63;5,58
vescles;46,36;5,61
vevy;46,67;5,66
villards d heria;46,41;5,74
villeneuve sous pymont;46,7;5,55
villers farlay;46,99;5,76
vincent froideville;46,79;5,48
voiteur;46,74;5,6
vriange;47,18;5,58
ahuy;47,37;5,02
aignay le duc;47,67;4,75
allerey;47,19;4,42
aloxe corton;47,07;4,86
antigny la ville;47,1;4,56
arceau;47,38;5,2
arnay sous vitteaux;47,44;4,5
aubaine;47,13;4,73
avot;47,62;5,01
baulme la roche;47,35;4,79
bellenot sous pouilly;47,29;4,55
bessey en chaume;47,09;4,74
bessey les citeaux;47,15;5,15
bissey la cote;47,91;4,71
bissey la pierre;47,84;4,43
source seine;47,49;4,7
bligny les beaune;46,98;4,83
bligny sur ouche;47,11;4,68
bouix;47,9;4,47
brain;47,46;4,51
braux;47,41;4,42
brianny;47,41;4,37
buffon;47,66;4,27
cessey sur tille;47,28;5,23
chailly sur armancon;47,27;4,48
chambain;47,8;4,92
chamesson;47,78;4,54
champ d oiseau;47,55;4,35
charmes;47,37;5,35
charrey sur saone;47,1;5,15
chatillon sur seine;47,86;4,59
chaudenay le chateau;47,18;4,64
chaugey;47,75;4,95
chaumont le bois;47,93;4,59
valforet;47,25;4,87
clery;47,3;5,5
collonges et premieres;47,23;5,29
combertault;46,99;4,9
comblanchien;47,1;4,92
commarin;47,25;4,65
corpoyer la chapelle;47,55;4,61
courtivron;47,53;4,95
crecey sur tille;47,57;5,14
curley;47,2;4,91
dienay;47,52;5,06
dijon;47,32;5,04
eguilly;47,3;4,5
