code_site;code_station;longitude;latitude;code_commune_station;libelle;code_departement;code_region;libelle_region
61220002;6122000201;-52.38324561;3.180794963;97356;CAMOPI;973;3;GUYANE
61220003;6122000301;-52.488043995;3.176090312;97356;CAMOPI;973;3;GUYANE
62010001;6201000101;-52.872735355;2.25838631;97356;CAMOPI;973;3;GUYANE
62420001;6242000101;-52.330644036;3.081554738;97356;CAMOPI;973;3;GUYANE
70220001;7022000101;-53.722771782;4.878134131;97306;MANA;973;3;GUYANE
70500001;7050000101;-53.672679099;5.384362248;97306;MANA;973;3;GUYANE
80110001;8011000101;-52.669731887;3.616710407;97301;REGINA;973;3;GUYANE
80310001;8031000101;-52.560331985;4.019507259;97301;REGINA;973;3;GUYANE
80320001;8032000101;-52.321934053;4.187812533;97301;REGINA;973;3;GUYANE
90030001;9003000101;-52.886753864;4.549414056;97358;SAINT-ELIE;973;3;GUYANE
90110001;9011000101;-53.110283097;4.741412715;97358;SAINT-ELIE;973;3;GUYANE
90120001;9012000101;-53.152725422;4.732530656;97358;SAINT-ELIE;973;3;GUYANE
90200001;9020000101;-53.012364368;4.882972746;97358;SAINT-ELIE;973;3;GUYANE
90230001;9023000101;-53.03357645;4.966962885;97358;SAINT-ELIE;973;3;GUYANE
90240001;9024000101;-53.044362163;5.066750236;97312;SINNAMARY;973;3;GUYANE
90240001;9024000102;-53.058342664;5.071379993;97312;SINNAMARY;973;3;GUYANE
90240002;9024000201;-53.071215814;5.09059564;97312;SINNAMARY;973;3;GUYANE
90240002;9024000202;-53.053170916;5.092407374;97312;SINNAMARY;973;3;GUYANE
90240002;9024000203;-53.04852589;5.094754722;97312;SINNAMARY;973;3;GUYANE
90240003;9024000301;-53.003849668;5.35882275;97312;SINNAMARY;973;3;GUYANE
91040001;9104000101;-52.510677659;4.535551791;97310;ROURA;973;3;GUYANE
91100001;9110000101;-52.385968173;4.45795925;97310;ROURA;973;3;GUYANE
91110001;9111000101;-52.262592691;4.536543916;97310;ROURA;973;3;GUYANE
91200001;9120000101;-52.468595189;4.754533934;97313;MONTSINERY-TONNEGRANDE;973;3;GUYANE
91210001;9121000101;-52.521056907;4.818565758;97313;MONTSINERY-TONNEGRANDE;973;3;GUYANE
91210001;9121000102;-52.536600756;4.815266118;97313;MONTSINERY-TONNEGRANDE;973;3;GUYANE
91310001;9131000101;-52.790250953;4.89644235;97304;KOUROU;973;3;GUYANE
91310001;9131000102;-52.792182043;4.897142476;97304;KOUROU;973;3;GUYANE
91330001;9133000101;-52.699673946;5.150361699;97304;KOUROU;973;3;GUYANE
91340001;9134000101;-52.785487428;5.227193576;97304;KOUROU;973;3;GUYANE
A0220200;A022020001;7.528981528;47.564376836;68126;HEGENHEIM;68;44;GRAND EST
A0220650;A022065001;7.508167695;47.587489322;68042;BLOTZHEIM;68;44;GRAND EST
A0230100;A023010001;7.545293761;47.603575148;68297;SAINT-LOUIS;68;44;GRAND EST
A0230200;A023020001;7.556488474;47.596980267;68297;SAINT-LOUIS;68;44;GRAND EST
A0230201;A023020101;7.514201615;47.639123883;68021;BARTENHEIM;68;44;GRAND EST
A0240001;A024000101;7.402934356;47.603518839;68132;HELFRANTZKIRCH;68;44;GRAND EST
A0260001;A026000101;7.336371644;47.65948711;68324;STEINBRUNN-LE-HAUT;68;44;GRAND EST
A0260002;A026000201;7.375372559;47.683850098;68174;LANDSER;68;44;GRAND EST
A0340022;A034002201;7.402299785;47.789660363;68300;SAUSHEIM;68;44;GRAND EST
A0340302;A034030201;7.480874862;47.758723631;68144;HOMBOURG;68;44;GRAND EST
A0340303;A034030301;7.462997096;47.899842827;68140;HIRTZFELDEN;68;44;GRAND EST
A0340304;A034030401;7.514937856;47.992088886;68246;OBERSAASHEIM;68;44;GRAND EST
A0410300;A041030001;7.647875257;48.221808078;67453;SCHŒNAU;67;44;GRAND EST
A0410301;A041030101;7.557677958;48.097190074;68019;BALTZENHEIM;68;44;GRAND EST
A0430300;A043030001;7.65020065;48.266571353;67486;SUNDHOUSE;67;44;GRAND EST
A0520330;A052033001;7.665814529;48.289669284;67090;DIEBOLSHEIM;67;44;GRAND EST
A0520340;A052034001;7.694716301;48.326605288;67055;BOOFZHEIM;67;44;GRAND EST
A0520550;A052055001;7.677065894;48.310351223;67146;FRIESENHEIM;67;44;GRAND EST
