libelle;longitude;latitude;code_commune_station;libelle_commune
La rivière du Mât [Bras principal] à Bras-Panon [Barrage Bengalis];55.640255699;-20.978258533;97402;BRAS-PANON
La Grande Rivière Saint-Jean [Bras principal] à Sainte-Suzanne [Pont RN 2002];55.641920525;-20.932353037;97420;SAINTE-SUZANNE
La Grande Rivière Saint-Jean [Bras principal] à Saint-André [Grand Bras];55.605666402;-20.969053684;97409;SAINT-ANDRE
La Petite Rivière Saint-Jean [Affluent] à Sainte-Suzanne [Cascade Délice];55.633827755;-20.93620008;97420;SAINTE-SUZANNE
La rivière Sainte-Suzanne [Bras principal] à Sainte-Suzanne [Amont Cascade Niagara];55.602405419;-20.921464584;97420;SAINTE-SUZANNE
La rivière Sainte-Suzanne [Bras principal] à Sainte-Suzanne [Bassin ravine Creuse];55.578183881;-20.960814626;97420;SAINTE-SUZANNE
Le bras Laurent [Affluent] à Sainte-Suzanne;55.568599139;-20.975142151;97420;SAINTE-SUZANNE
La rivière Sainte-Suzanne à Sainte-Suzanne [Bassin Grondin];55.582434329;-20.951219368;97420;SAINTE-SUZANNE
La rivière Sainte-Suzanne à Sainte-Suzanne;55.564220224;-20.975421481;97420;SAINTE-SUZANNE
La Grande Rivière Saint-Jean à Saint-André [Amont Cascade Pichon];55.63799635;-20.94841096;97409;SAINT-ANDRE
La rivière Sainte-Suzanne [Bras Principal] à Sainte-Suzanne [En aval du bassin Ravine Creuse];55.578392671;-20.960661983;97420;SAINTE-SUZANNE
La rivière des Pluies [Bras Principal] à Saint-Denis [Pont Desbassyns];55.509635427;-20.916416225;97411;SAINT-DENIS
La rivière des Pluies [Bras Principal] à Saint-Denis [Piton Tanan];55.68834393;-20.971101281;97411;SAINT-DENIS
La ravine Mère Canal à Sainte-Marie;55.518391978;-20.975236896;97418;SAINTE-MARIE
La ravine des Patates à Durand [Bras principal] à Saint-Denis;55.472893068;-20.893345654;97411;SAINT-DENIS
La ravine du Butor [Bras principal] à Saint-Denis;55.464660969;-20.888041608;97411;SAINT-DENIS
La rivière Saint-Denis [Bras principal] à Saint-Denis [Seuil Bourbon];55.445329971;-20.883458667;97411;SAINT-DENIS
La rivière Saint-Denis [Bras principal] à Saint-Denis [Amont prise d'eau Bellepierre];55.433358102;-20.908028161;97411;SAINT-DENIS
La rivière des Galets [Bras Principal] à la Possession et à Saint-Paul;55.403954009;-21.020994405;97415;SAINT-PAUL
Le bras Sainte-Suzanne [Affluent] à la Possession [Prise ILO];55.406119298;-20.992858769;97408;POSSESSION
La rivière des Galets à la Possession;55.383883783;-20.997951506;97408;POSSESSION
L'étang Saint-Paul [Etang] à Saint-Paul;55.288710268;-20.989957783;97415;SAINT-PAUL
La ravine Bernica [Bras Principal] à Saint-Paul;55.309595961;-21.058356126;97415;SAINT-PAUL
La ravine Saint-Gilles [Bras principal] à Saint-Paul [Pont RN 1a];55.229631108;-21.052327664;97415;SAINT-PAUL
La ravine Saint-Gilles [Bras Principal] à Saint-Paul [Le Verrou];55.238226885;-21.048767947;97415;SAINT-PAUL
La ravine Saint-Gilles [Bras Principal] à Saint-Paul [Le Verrou];55.238226885;-21.048767947;97415;SAINT-PAUL
La ravine du Grand Étang [Bras Principal] à Saint-Leu [Pont du Centre-Ville];55.287934952;-21.168595843;97413;SAINT-LEU
La ravine du Grand Étang [Bras Principal] à Saint-Leu [Pont de la RN 1A];55.290258953;-21.168312252;97413;SAINT-LEU
La ravine du Petit Étang [Bras Principal] à Saint-Leu [Pont du Centre-Ville];55.288075395;-21.169780518;97413;SAINT-LEU
Le bras de Sainte-Suzanne au Tampon;55.534590444;-21.181247256;97422;TAMPON
La ravine des Cabris [Bras Principal] à Saint-Pierre [Pont de la RN 1];55.442894906;-21.316688854;97416;SAINT-PIERRE
La ravine des Cabris [Bras Principal] à Saint-Pierre [Pont de la RN 3];55.497932157;-21.277507367;97416;SAINT-PIERRE
La ravine Blanche [Bras Principal] à Saint-Pierre [Abattoir ZI n°1];55.458790109;-21.333392557;97416;SAINT-PIERRE
La ravine Blanche [Bras Principal] à Saint-Pierre [Pont de la RD 3];55.513644261;-21.276246638;97416;SAINT-PIERRE
La ravine Blanche [Bras Principal] au Tampon [Plaine des Cafres];55.593253499;-21.215006669;97422;TAMPON
La ravine Blanche [Bras Principal] à Saint-Pierre [La Chatoire];55.503628871;-21.284079951;97416;SAINT-PIERRE
La ravine Blanche [Bras principal] au Tampon [Pont de la RN 3];55.52487778;-21.265984391;97422;TAMPON
La rivière d'Abord [Bras Principal] à Saint-Pierre [Mon Caprice];55.500726674;-21.308904026;97416;SAINT-PIERRE
Le Maroni à Apatou [Langa Tabiki];-54.437026296;4.986284467;97360;APATOU
Le Maroni à Saint-Laurent-du-Maroni;-54.036170715;5.493567718;97311;SAINT-LAURENT-DU-MARONI
"La crique Balaté (Branche Ouest); crique Balaté à Saint-Laurent-du-Maroni [Balaté]";;;;
"La Tapanahoni; Tapanahoni supérieure à Grand-Santi [Kio Konde]";;;;
Le Maroni [Lawa] à Maripasoula [Taluen];-54.052123842;3.384427262;97353;MARIPASOULA
Le Maroni [Le Lawa] à Maripasoula;-54.024466036;3.647586494;97353;MARIPASOULA
Le Maroni [Lawa] à Papaichton;-54.142595126;3.805435012;97362;PAPAICHTON
Le Maroni [Le Lawa] à Grand-Santi;-54.381705873;4.271536889;97357;GRAND-SANTI
Le Maroni [La Litani] à Maripasoula [Kalewat];-54.189616188;3.199926168;97353;MARIPASOULA
Le Maroni [La Litani] à Maripasoula;-54.119527324;3.279467073;97353;MARIPASOULA
Le Maroni [La Litani] à Maripasoula;-54.071830172;3.295289409;97353;MARIPASOULA
La Malani à Maripasoula [Aloupata];-54.088677656;3.225621995;97353;MARIPASOULA
La Tampok à Maripasoula [Degrad Roche];-53.832881668;3.405833417;97353;MARIPASOULA
La Tampok à Maripasoula [Degrad Roche];-53.930172891;3.393217089;97353;MARIPASOULA
L'Oyapock à Camopi;-52.32699647;3.171688901;97356;CAMOPI
L'Oyapock à Camopi;-52.322583447;3.171667805;97356;CAMOPI
L'Oyapock à Saint-Georges [Saut Maripa];-51.884756948;3.801667815;97308;SAINT-GEORGES
La Camopi à Camopi [Bienvenue];-52.36704657;3.178691204;97356;CAMOPI
La Camopi à Camopi [Saut Mombin];-52.38324561;3.180794963;97356;CAMOPI
La Camopi à Camopi [Saut Chien];-52.488043995;3.176090312;97356;CAMOPI
[Oyapock à Trois Sauts] à Camopi;-52.872735355;2.25838631;97356;CAMOPI
L'Oyapock à Camopi [Alikoto];-52.330644036;3.081554738;97356;CAMOPI
La Mana à Mana [Saut Chien];-53.722771782;4.878134131;97306;MANA
La Mana à Mana [Saut Sabbat];-53.672679099;5.384362248;97306;MANA
L'Approuague à Régina [Saut Grand Kanori];-52.669731887;3.616710407;97301;REGINA
L'Approuague à Régina [Pierrette];-52.560331985;4.019507259;97301;REGINA
L'Approuague à Régina [Saut Athanase];-52.321934053;4.187812533;97301;REGINA
Le Sinnamary à Saint-Élie [Saut Dalles];-52.886753864;4.549414056;97358;SAINT-ELIE
Le Koursibo à Saint-Élie [Saut l'Autel];-53.110283097;4.741412715;97358;SAINT-ELIE
La crique Leblond à Saint-Élie [Crique Leblond];-53.152725422;4.732530656;97358;SAINT-ELIE
Le Koursibo à Saint-Élie [Adieu Vat];-53.012364368;4.882972746;97358;SAINT-ELIE
Le Sinnamary à Saint-Élie [Saut Tigre];-53.03357645;4.966962885;97358;SAINT-ELIE
Le Sinnamary à Sinnamary [Petit Saut];-53.044362163;5.066750236;97312;SINNAMARY
Le Sinnamary à Sinnamary [Petit Saut];-53.058342664;5.071379993;97312;SINNAMARY
La crique Grégoire à Sinnamary;-53.071215814;5.09059564;97312;SINNAMARY
La crique Grégoire à Sinnamary;-53.053170916;5.092407374;97312;SINNAMARY
La crique Grégoire à Sinnamary;-53.04852589;5.094754722;97312;SINNAMARY
La crique Toussaint à Sinnamary [Crique Toussaint];-53.003849668;5.35882275;97312;SINNAMARY
Le Mahury [La Comté] à Roura [Saut Bief];-52.510677659;4.535551791;97310;ROURA
L'Orapu à Roura [Saut Bernard];-52.385968173;4.45795925;97310;ROURA
La rivière de Kounana à Roura [Degrad Lalanne];-52.262592691;4.536543916;97310;ROURA
La crique Bellevue [La rivière des Cascades] à Montsinéry-Tonnegrande [Cascade];-52.468595189;4.754533934;97313;MONTSINERY-TONNEGRANDE
La rivière de Tonnégrande à Montsinéry-Tonnegrande;-52.521056907;4.818565758;97313;MONTSINERY-TONNEGRANDE
La rivière de Tonnégrande à Montsinéry-Tonnegrande;-52.536600756;4.815266118;97313;MONTSINERY-TONNEGRANDE
Le Kourou à Kourou [Roche Léodate];-52.790250953;4.89644235;97304;KOUROU
Le Kourou à Kourou [Roche Léodate];-52.792182043;4.897142476;97304;KOUROU
La crique Passoura à Kourou [Pont déviation RN 1];-52.699673946;5.150361699;97304;KOUROU
La crique Karouabo à Kourou [Pont ancienne RN 1 (CSG)];-52.785487428;5.227193576;97304;KOUROU
Le Rhin en Suisse [Bâle [Rheinhalle]];7.606153158;47.556969907;99140;
L'Augraben à Hégenheim;7.528981528;47.564376836;68126;HEGENHEIM
Le ruisseau le Liesbach à Blotzheim;7.508167695;47.587489322;68042;BLOTZHEIM
[Le Liesbach] à Saint-Louis [Langenhaeuser];7.545293761;47.603575148;68297;SAINT-LOUIS
