code_site,code_station,date_obs_elab,resultat_obs_elab,grandeur_hydro_elab,longitude_station,latitude_station,altitude_ref_alti_station,libelle_site,libelle_station,code_cours_eau,libelle_cours_eau,libelle_departement,longitude_site,altitude_site
F7000001,F700000103,2006-03-26,776122.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-03-27,844462.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-03-28,818273.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-03-29,742667.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-03-30,809436.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-03-31,824701.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-01,817771.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-02,797918.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-03,783918.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-04,788091.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-05,745854.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-06,725381.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-07,707097.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-08,676339.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-09,635188.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-10,595950.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
F7000001,F700000103,2006-04-11,535020.0,QmJ,2.365510635,48.84468962,25.92,La Seine à Paris,La Seine à Paris - Austerlitz [>2006] - Station débitmétrique,----0010,La Seine,PARIS,2.365510635,26.0
